,feature_set,n_features,val_threshold,test_pii_precision,test_pii_recall,test_pii_f1,test_macro_f1,test_fn,test_fp
0,TF-IDF Only,50000,0.4249,0.8314,0.9077,0.8679,0.7763,2024,4037
1,Text Only,10,0.4609,0.6944,0.9683,0.8088,0.5054,694,9346
2,Pattern Only,8,0.5063,0.6738,1.0,0.8051,0.4026,0,10616
3,TF-IDF + Text,50010,0.4454,0.8553,0.9059,0.8799,0.804,2064,3359
4,TF-IDF + Pattern,50008,0.4572,0.8543,0.899,0.876,0.7992,2215,3363
5,Combined,50018,0.4159,0.8478,0.916,0.8806,0.8004,1841,3605
