model,eval_set,threshold,operating_point,canonical,tn,fp,fn,tp
MLP (Neural Net),validation,0.5,fixed-0.5,False,7930,2686,3054,18872
MLP (Neural Net),validation,0.02,deployed,False,5838,4778,1375,20551
MLP (Neural Net),test,0.5,fixed-0.5,False,7993,2624,3005,18921
MLP (Neural Net),test,0.02,deployed,True,5898,4719,1350,20576
