threshold,precision_pii,recall_pii,f1_pii,fn
0.001,0.7639153401128319,0.9695794946638694,0.8545472816802332,667
0.011,0.8005869632375656,0.9455441028915443,0.8670486387018527,1194
0.020999999999999998,0.8120229385010876,0.9364225120861078,0.8697972930037491,1394
0.030999999999999996,0.8186996109261562,0.9309039496488187,0.871203875621572,1515
0.040999999999999995,0.8235508863018699,0.925978290613883,0.8717662465918118,1623
0.05099999999999999,0.8278782423696915,0.9228769497400346,0.8728002070393375,1691
0.06099999999999999,0.8310869296401632,0.9195931770500775,0.8731028211401477,1763
0.071,0.8337617113008872,0.9172671713946913,0.8735232800555942,1814
0.08099999999999999,0.8361885707140178,0.914941165739305,0.8737940196441405,1865
0.09099999999999998,0.8383918839607613,0.9121134725896196,0.8737003058103976,1927
0.10099999999999998,0.8399578947368421,0.9098330748882605,0.8735003065066994,1977
0.11099999999999999,0.8413886422258869,0.9075070692328742,0.8731980252331322,2028
0.12099999999999998,0.8434686597587906,0.9058651828878956,0.8735541188371377,2064
0.13099999999999998,0.8450812332096712,0.9038584329106997,0.8734821605659254,2108
0.141,0.8465357127573073,0.9021709386116938,0.8734683063608063,2145
0.15099999999999997,0.8476693278392995,0.9007114840828241,0.8733858128427384,2177
0.16099999999999998,0.8487196040456209,0.8993888534160358,0.8733198999136423,2206
0.17099999999999999,0.849769107936645,0.8980206147952203,0.8732288178814556,2236
0.18099999999999997,0.8512167662596345,0.8965611602663505,0.8733007552199022,2268
0.19099999999999998,0.8520897530489128,0.8954209614156708,0.8732181377454578,2293
0.20099999999999996,0.853243360905529,0.8938702909787467,0.8730844618674269,2327
0.21099999999999997,0.8543604524215032,0.8922740125877953,0.8729057445621863,2362
0.22099999999999997,0.8552671889360585,0.8912706375991973,0.8728978224455611,2384
0.23099999999999996,0.8563594085903566,0.8902216546565721,0.8729622755428341,2407
0.24099999999999996,0.8571365754990766,0.8890358478518654,0.8727948419450166,2433
0.25099999999999995,0.85771569577862,0.8877588251391043,0.8724787090990587,2461
0.26099999999999995,0.858802225951771,0.8868466660585607,0.8725991742954586,2481
