Model,Accuracy,Precision (PII),Recall (PII),F1 (PII),Precision (Safe),Recall (Safe),F1 (Safe),Macro-F1,Balanced Acc,MCC,FNR (leak rate),FPR (false alarm),N,TN,FP,FN,TP,Family,Features,Eval set,canonical
Logistic Regression,0.7867064101776167,0.8131661442006269,0.8873027455988325,0.848618350744804,0.7132412672623883,0.5789374529012811,0.6391098632558623,0.7438641070003331,0.7331200992500568,0.4954112392875712,0.11269725440116757,0.42106254709871893,32542,6146,4470,2471,19455,Classical ML,TF-IDF (100k),validation,True
Naive Bayes,0.7186097965705857,0.7190298123434766,0.9558971084557146,0.820714635340186,0.7150014736221633,0.22852298417483044,0.3463487757869941,0.58353170556359,0.5922100463152725,0.282920642517187,0.04410289154428532,0.7714770158251696,32542,2426,8190,967,20959,Classical ML,TF-IDF (100k),validation,True
Linear SVM,0.7873517300719071,0.8371528713939067,0.8496761835264071,0.8433680398370303,0.6796267496111975,0.6586284853051997,0.6689628779181018,0.7561654588775661,0.7541523344158034,0.5125246278120913,0.150323816473593,0.3413715146948003,32542,6992,3624,3296,18630,Classical ML,TF-IDF (100k),validation,True
MLP (Neural Net),0.7934996313590563,0.8457654871281725,0.8480799051354556,0.846921114957187,0.6847435169411319,0.6808770939205722,0.6828048320120799,0.7648629734846335,0.7644784995280138,0.5297324331817916,0.15192009486454439,0.31912290607942784,32552,7235,3391,3331,18595,Neural Net,TF-IDF (100k),validation*,True
DistilBERT,0.9765841066928892,0.9838591678097851,0.9813463468028825,0.9826011507900265,0.9616754122938531,0.966748304446119,0.9642051860202931,0.9734031684051598,0.9740473256245008,0.94681375041094,0.01865365319711758,0.03325169555388093,32542,10263,353,409,21517,Transformer,sub-word tokens,validation,True
DistilBERT (test),0.9741572688442983,0.9819869245188132,0.9796132445498495,0.9807986483709674,0.9581068416119962,0.96288970518979,0.960492319255884,0.9706454838134257,0.9712514748698198,0.9412975871689753,0.020386755450150507,0.03711029481021004,32543,10223,394,447,21479,Transformer,sub-word tokens,test,False
Phi-4 LLM,0.7373333333333333,0.8087130696044066,0.7991093518060366,0.8038825286212046,0.5952143569292123,0.609805924412666,0.6024217961654893,0.703152162393347,0.7044576381093512,0.4064136995640089,0.20089064819396338,0.390194075587334,3000,597,382,406,1615,LLM baseline,prompted (zero-shot),test-subset,True
