model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
MultinomialNB,{'alpha': 0.0001},"MultinomialNB|{""alpha"": 0.0001}",,,0.7505070370597996,0.8082607724938602,0.8255495758460275,0.8168137000518941,0.0008768140001241894,0.0001,,,
MultinomialNB,{'alpha': 0.001},"MultinomialNB|{""alpha"": 0.001}",,,0.7503226599471452,0.8082369232143655,0.8252303201678373,0.8166452282625866,0.0008364222499949392,0.001,,,
MultinomialNB,{'alpha': 0.01},"MultinomialNB|{""alpha"": 0.01}",,,0.7498617171655092,0.8081358962896736,0.8245005929034024,0.8162362290048762,0.0008381158833799418,0.01,,,
MultinomialNB,{'alpha': 0.05},"MultinomialNB|{""alpha"": 0.05}",,,0.7491242087148915,0.8079573934837093,0.8233603940527228,0.8155861757397787,0.0008220354167860933,0.05,,,
MultinomialNB,{'alpha': 0.1},"MultinomialNB|{""alpha"": 0.1}",,,0.7487554544895827,0.8076613264118858,0.8231323542825869,0.815323455005421,0.0008663007499611316,0.1,,,
MultinomialNB,{'alpha': 0.5},"MultinomialNB|{""alpha"": 0.5}",,,0.7460819863560937,0.8040140625695341,0.8239989054091034,0.813883820978895,0.0008278076165879611,0.5,,,
MultinomialNB,{'alpha': 1.0},"MultinomialNB|{""alpha"": 1.0}",,,0.74488353512384,0.7985885859559919,0.830931314421235,0.8144389807778274,0.0008227623167234318,1.0,,,
BernoulliNB,{'alpha': 0.0001},"BernoulliNB|{""alpha"": 0.0001}",,,0.7356954090098949,0.8564549783318175,0.7300921280671349,0.7882413767634242,0.0015278301332728006,0.0001,,,
BernoulliNB,{'alpha': 0.001},"BernoulliNB|{""alpha"": 0.001}",,,0.7355417614160162,0.856492880847875,0.7297728723889446,0.7880713159968479,0.0016048901500956465,0.001,,,
BernoulliNB,{'alpha': 0.01},"BernoulliNB|{""alpha"": 0.01}",,,0.7349579005592772,0.8565378223342089,0.7286782814922923,0.7874516375465143,0.0014943878501071594,0.01,,,
BernoulliNB,{'alpha': 0.05},"BernoulliNB|{""alpha"": 0.05}",,,0.733820908364575,0.8565208042146005,0.7266715315150962,0.7862712198973549,0.001746297933277674,0.05,,,
BernoulliNB,{'alpha': 0.1},"BernoulliNB|{""alpha"": 0.1}",,,0.7326839161698728,0.8563116211411023,0.7248928213080361,0.7851409094277175,0.0016291895665441795,0.1,,,
BernoulliNB,{'alpha': 0.5},"BernoulliNB|{""alpha"": 0.5}",,,0.7305943088931227,0.8563227728134308,0.7211529690778071,0.7829466960461489,0.0015238256331940648,0.5,,,
BernoulliNB,{'alpha': 1.0},"BernoulliNB|{""alpha"": 1.0}",,,0.7296109642922992,0.8556874220993876,0.7201495940892092,0.7820897000916318,0.0014802658833408108,1.0,,,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": true, ""norm"": false}",,,0.7340360149960051,0.8785441268754636,0.702362492018608,0.7806361677860855,0.0008226838501286693,0.0001,True,False,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": true, ""norm"": true}",,,0.6618216458730256,0.9401144515193036,0.5319711757730549,0.679462907406868,0.0008261154168091404,0.0001,True,True,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": false, ""norm"": false}",,,0.7340360149960051,0.8785441268754636,0.702362492018608,0.7806361677860855,0.0008308842167025432,0.0001,False,False,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": false, ""norm"": true}",,,0.6618216458730256,0.9401144515193036,0.5319711757730549,0.679462907406868,0.0008210174998869964,0.0001,False,True,
ComplementNB,"{'alpha': 0.001, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": true, ""norm"": false}",,,0.7335136131768176,0.8786424408639013,0.7013591170300101,0.780054783402658,0.0007689860166768388,0.001,True,False,
ComplementNB,"{'alpha': 0.001, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": true, ""norm"": true}",,,0.6849917030299305,0.9218761292187613,0.5817750615707379,0.7133629729049576,0.0007584540168560731,0.001,True,True,
ComplementNB,"{'alpha': 0.001, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": false, ""norm"": false}",,,0.7335136131768176,0.8786424408639013,0.7013591170300101,0.780054783402658,0.0007588579833585148,0.001,False,False,
ComplementNB,"{'alpha': 0.001, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": false, ""norm"": true}",,,0.6849917030299305,0.9218761292187613,0.5817750615707379,0.7133629729049576,0.0007819874833027521,0.001,False,True,
ComplementNB,"{'alpha': 0.005, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": true, ""norm"": false}",,,0.7328068342449757,0.878699410384109,0.7000820943172489,0.7792867115116131,0.0007784758165750342,0.005,True,False,
ComplementNB,"{'alpha': 0.005, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": true, ""norm"": true}",,,0.7018007498002581,0.909255290650951,0.6192191918270546,0.7367193011015247,0.0007821021502119644,0.005,True,True,
ComplementNB,"{'alpha': 0.005, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": false, ""norm"": false}",,,0.7328068342449757,0.878699410384109,0.7000820943172489,0.7792867115116131,0.0007926484999188687,0.005,False,False,
ComplementNB,"{'alpha': 0.005, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": false, ""norm"": true}",,,0.7018007498002581,0.909255290650951,0.6192191918270546,0.7367193011015247,0.0007661816998734139,0.005,False,True,
ComplementNB,"{'alpha': 0.01, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": true, ""norm"": false}",,,0.7323458914633397,0.8788121990369181,0.6991699352367052,0.7787655575311151,0.0007650296834375088,0.01,True,False,
ComplementNB,"{'alpha': 0.01, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": true, ""norm"": true}",,,0.7080388421117325,0.9042227861279198,0.633813737115753,0.7452473521919828,0.000766179683463027,0.01,True,True,
ComplementNB,"{'alpha': 0.01, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": false, ""norm"": false}",,,0.7323458914633397,0.8788121990369181,0.6991699352367052,0.7787655575311151,0.0007755154501258706,0.01,False,False,
ComplementNB,"{'alpha': 0.01, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": false, ""norm"": true}",,,0.7080388421117325,0.9042227861279198,0.633813737115753,0.7452473521919828,0.0007662486333477621,0.01,False,True,
ComplementNB,"{'alpha': 0.05, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": true, ""norm"": false}",,,0.7301948251490382,0.8788035961272476,0.6954756909605035,0.7764651968022812,0.000755583050098115,0.05,True,False,
ComplementNB,"{'alpha': 0.05, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": true, ""norm"": true}",,,0.7243869461004241,0.8867530296698705,0.6774605491197665,0.7681050753677896,0.0007597188331904665,0.05,True,True,
ComplementNB,"{'alpha': 0.05, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": false, ""norm"": false}",,,0.7301948251490382,0.8788035961272476,0.6954756909605035,0.7764651968022812,0.0007593023333659706,0.05,False,False,
ComplementNB,"{'alpha': 0.05, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": false, ""norm"": true}",,,0.7243869461004241,0.8867530296698705,0.6774605491197665,0.7681050753677896,0.000756716283406907,0.05,False,True,
ComplementNB,"{'alpha': 0.1, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": true, ""norm"": false}",,,0.7292729395857661,0.8793382693197593,0.6933321171212259,0.7753353394195951,0.0007641534168215003,0.1,True,False,
ComplementNB,"{'alpha': 0.1, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": true, ""norm"": true}",,,0.7304099317804683,0.8752210874650539,0.6996260147769771,0.7776341469596736,0.0007565424333733972,0.1,True,True,
ComplementNB,"{'alpha': 0.1, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": false, ""norm"": false}",,,0.7292729395857661,0.8793382693197593,0.6933321171212259,0.7753353394195951,0.0007585825165733695,0.1,False,False,
ComplementNB,"{'alpha': 0.1, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": false, ""norm"": true}",,,0.7304099317804683,0.8752210874650539,0.6996260147769771,0.7776341469596736,0.0007760672332854786,0.1,False,True,
LinearSVM,{'C': 0.01},"LinearSVM|{""C"": 0.01}",0.01,,0.7824350070677893,0.8028806920189326,0.8974277113928669,0.8475255200930353,0.09970105223328574,,,,
