model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
LinearSVM,{'C': 0.01},"LinearSVM|{""C"": 0.01}",0.01,,0.7827730317743224,0.8031669591478594,0.8975645352549485,0.8477460208059618,0.3434178353000031,,,,
LinearSVM,{'C': 0.1},"LinearSVM|{""C"": 0.1}",0.1,,0.822629217626452,0.8550641814665025,0.8871203137827237,0.8707973317813493,0.6139479282500058,,,,
LinearSVM,{'C': 0.25},"LinearSVM|{""C"": 0.25}",0.25,,0.826931350255055,0.8629276550249465,0.8834716774605491,0.8730788299454636,1.0024020691666768,,,,
LinearSVM Loss Check,"{'C': 0.01, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.01, ""loss"": ""hinge""}",0.01,,0.6880646549075041,0.6839556319325105,0.9983581136550216,0.8117780126457881,0.0215161369166708,,,,hinge
LinearSVM Loss Check,"{'C': 0.01, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.01, ""loss"": ""squared_hinge""}",0.01,,0.7827730317743224,0.8031669591478594,0.8975645352549485,0.8477460208059618,0.3510013337166583,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.1, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.1, ""loss"": ""hinge""}",0.1,,0.7996435375822014,0.8283461210571185,0.8862993706102344,0.8563433657956198,0.0431002555333331,,,,hinge
LinearSVM Loss Check,"{'C': 0.1, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.1, ""loss"": ""squared_hinge""}",0.1,,0.822629217626452,0.8550641814665025,0.8871203137827237,0.8707973317813493,0.671338258666674,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.25, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.25, ""loss"": ""hinge""}",0.25,,0.8187572982607092,0.8511831726555653,0.8858888990239898,0.8681893353595852,0.0958241089666747,,,,hinge
LinearSVM Loss Check,"{'C': 0.25, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.25, ""loss"": ""squared_hinge""}",0.25,,0.826931350255055,0.8629276550249465,0.8834716774605491,0.8730788299454636,0.9338774629166589,,,,squared_hinge
LinearSVM,{'C': 1.4},"LinearSVM|{""C"": 1.4}",1.4,,0.8242271526027902,0.8662538419815585,0.8740764389309496,0.8701475595913735,1.2108110279833302,,,,
LinearSVM,{'C': 1.6},"LinearSVM|{""C"": 1.6}",1.6,,0.823551103189724,0.865789711599313,0.8735291434826233,0.8696422084998183,1.2461517189666664,,,,
LinearSVM,{'C': 1.8},"LinearSVM|{""C"": 1.8}",1.8,,0.8230287013705365,0.8657195855766185,0.8727082003101341,0.8691998455563379,1.094119569233332,,,,
LinearSVM Loss Check,"{'C': 1.75, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1.75, ""loss"": ""hinge""}",1.75,,0.8296355479073197,0.8677711925287356,0.8814649274833531,0.8745644599303136,0.5888278634000017,,,,hinge
LinearSVM Loss Check,"{'C': 1.75, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1.75, ""loss"": ""squared_hinge""}",1.75,,0.8232438080019667,0.8658944891864989,0.8728450241722157,0.8693558644498955,0.5540835209499998,,,,squared_hinge
